,street_policy,avenue_policy,num_streets,num_avenues,street_block_length,street_crosswalk_length,avenue_block_length,avenue_crosswalk_length,green_time,red_time,traffic_light_grid_random_seed,walker_speed,walker_starting_corner
33,90.33333333332949,90.33333333332949,5,6,200,10,200,30,15,10,86,60,sw
34,84.23333333332984,73.13333333333047,5,6,200,10,200,30,10,15,88,60,sw
35,90.14999999999617,90.14999999999617,5,6,200,10,200,30,15,10,3,60,sw
36,73.13333333333047,83.94999999999652,5,6,200,10,200,30,10,15,91,60,sw
37,84.99999999999646,84.99999999999646,5,6,200,10,200,30,15,10,43,60,sw
38,83.38333333332989,83.38333333332989,5,6,200,10,200,30,10,15,21,60,sw
39,80.56666666666338,87.18333333332967,5,6,200,10,200,30,15,10,15,60,sw
40,78.26666666666351,78.26666666666351,5,6,200,10,200,30,25,30,82,60,sw
41,73.13333333333047,73.13333333333047,5,6,200,10,200,30,30,25,84,60,sw
42,91.61666666666275,91.61666666666275,5,6,200,10,200,30,25,30,14,60,sw
43,73.13333333333047,73.13333333333047,5,6,200,10,200,30,30,25,56,60,sw
44,126.93333333332741,126.93333333332741,5,6,200,10,200,30,25,30,86,60,sw
45,152.0833333333465,152.0833333333465,5,6,200,10,200,30,30,25,88,60,sw
46,73.13333333333047,73.13333333333047,5,6,200,10,200,30,25,30,3,60,sw
47,96.1666666666625,96.1666666666625,5,6,200,10,200,30,30,25,91,60,sw
48,114.79999999999477,114.79999999999477,5,6,200,10,200,30,25,30,43,60,sw
49,73.13333333333047,73.13333333333047,5,6,200,10,200,30,30,25,21,60,sw
50,118.58333333332789,118.58333333332789,5,6,200,10,200,30,50,55,15,60,sw
51,77.89999999999687,77.89999999999687,5,6,200,10,200,30,55,50,82,60,sw
52,90.53333333332948,90.53333333332948,5,6,200,10,200,30,50,55,84,60,sw
53,73.13333333333047,73.13333333333047,5,6,200,10,200,30,55,50,14,60,sw
54,116.03333333332803,116.03333333332803,5,6,200,10,200,30,50,55,56,60,sw
55,136.8166666666677,136.8166666666677,5,6,200,10,200,30,55,50,86,60,sw
